"track","artist"
"Twist And Shout - Remastered","The Beatles"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson"
"A-Punk","Vampire Weekend"
"Hooked on a Feeling","Blue Swede"
"Come","Jain"
"Don't Stop Me Now","Queen"
"Treasure","Bruno Mars"
"Video Killed The Radio Star","The Buggles"
"Lush Life","Zara Larsson"
"Hey Ya!","OutKast"
"Love Me Like a Friend","Fly By Midnight"
"Country House","Blur"
"On Top Of The World","Imagine Dragons"
"Wake Me Up Before You Go-Go","Wham!"
"All About That Bass","Meghan Trainor"
"Mr. Brightside","The Killers"
"Cassy O'","George Ezra"
"Gimme Hope Jo'Anna","Eddy Grant"
"Little Talks","Of Monsters and Men"
"Shiny Happy People","R.E.M."
"You in Education","The Curious Incident"
"Don't Worry Be Happy","Bobby McFerrin"
"The Wire","HAIM"
"Everybody Needs Somebody To Love","The Blues Brothers"
"Love Natural","Crystal Fighters"
"I Got You (I Feel Good)","James Brown"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris"
"Hey, Soul Sister","Train"
"Naked","SLANG"
"Best Fake Smile","James Bay"
"Walking On Sunshine","Katrina & The Waves"
"Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Daft Punk"
"Riptide","Vance Joy"
"Don't Slack (from Trolls World Tour)","Anderson .Paak"
"Should I Stay or Should I Go - Remastered","The Clash"
"Feel It Still","Portugal. The Man"
"Accidentally In Love","Counting Crows"
"I'm Good","The Mowgli's"
"Celebration - Single Version","Kool & The Gang"
"Homerun (Radio Edit)","The Brahms"
"Walk Of Life","Dire Straits"
"Shine On","The Kooks"
"Jailhouse Rock","Elvis Presley"
"Grace Kelly","MIKA"
"ABC","The Jackson 5"
"Adventure of a Lifetime","Coldplay"
"Sunny","Boney M."
"Toucan","Camo Columbo"
"Jungle Drum","Emilíana Torrini"
"I'm Gonna Be (500 Miles)","The Proclaimers"
"Best Day Of My Life","American Authors"
"Uptown Girl","Billy Joel"
"Norgaard","The Vaccines"
"Desire","Years & Years"
"Rudy, A Message To You","Dandy Livingstone"
"It's Love (but it's not mine)","EUT"
"Friday I'm In Love","The Cure"
"My Type","Saint Motel"
"Alive","Camo Columbo"
"Love Myself","Hailee Steinfeld"
"One Way Or Another","Blondie"
