"track","artist"
"Someone You Loved","Lewis Capaldi"
"17","Pink Sweat$"
"Loved by You","KIRBY"
"when the party's over","Billie Eilish"
"To Die For","Sam Smith"
"Finally Feel Good","James Arthur"
"Scared To Live","The Weeknd"
"1949","Jonah Mutono"
"No Time To Die","Billie Eilish"
"Jealous","Labrinth"
"The Love You Left Behind","Michael Schulte"
"white nails","prettyboyshav"
"Body Aint Me","Pink Sweat$"
"Glide","Lxandra"
"LOVE IN THE DARK","Jessie Reyez"
"Velvet","KIRBY"
"Best Part of Me (feat. YEBBA)","Ed Sheeran"
"Tell Me That You Love Me","James Smith"
"Falling","Harry Styles"
"Half A Man","Dean Lewis"
"Berlin","RY X"
"Wasteland","Maria Lynn"
"Nothing Matters Then We Die","Trove"
"Goodbyes","Jorja Smith"
"always, i'll care","Jeremy Zucker"
"I'm Not The Only One","Sam Smith"
"Cocaine","Pink Sweat$"
"July","Noah Cyrus"
"Skinny Love","Birdy"
"For Now","Kina Grannis"
"So Cold (Acoustic)","Maria Lynn"
"lonely drippin heart","Baby Jane"
"lovely (with Khalid)","Billie Eilish"
"Caves","Haux"
"Too Good At Goodbyes - Edit","Sam Smith"
"I Know","Pink Sweat$"
"Be Alright","Dean Lewis"
"Such A Simple Thing","Ray LaMontagne"
"Summer's Gone","Maria Lynn"
"Apple","KIRBY"
"Leave a Light On","Tom Walker"
"Would You","Pink Sweat$"
"Sober","Demi Lovato"
"Before You Go","Lewis Capaldi"
"Quite Miss Home","James Arthur"
"7 Minutes","Dean Lewis"
"Questioning My Mind","Ambar Lucid"
"Happier","Ed Sheeran"
"Love Someone","Lukas Graham"
"Let Me Down Slowly","Alec Benjamin"
"i love you","Billie Eilish"
"SLOW DANCING IN THE DARK","Joji"
"No Replacing You","Pink Sweat$"
"Warning Sign","Coldplay"
"All or Nothing (Acoustic)","Maria Lynn"
"River Of Tears","Alessia Cara"
"Half the World Away","AURORA"
"Cursive","Billie Marten"
"Heal","Tom Odell"
"Photograph","Ed Sheeran"
"Oblivion","Bastille"
"High Hopes","Kodaline"
"Honesty","Pink Sweat$"
"A letter to my younger self","Ambar Lucid"
"Leon","KIRBY"
"Wake Me Up","Ed Sheeran"
"Not About Angels","Birdy"
"Turning Tables","Adele"
"Let It Go","James Bay"
"Your Song","Ellie Goulding"
"Yours","Ella Henderson"
"Bleeding Love","Leona Lewis"
"Call Me","Pink Sweat$"
"I See Fire","Ed Sheeran"
"Hello","Adele"
"You Make It Real","James Morrison"
"Running Low","Shawn Mendes"
"Run","Leona Lewis"
"Higher Love","James Vincent McMorrow"
"7 Years","Lukas Graham"
"Fix You","Coldplay"
"Kool Aid","KIRBY"
"Look After You","The Fray"
"Someone Else","LANY"
"A Drop In The Ocean","Ron Pope"
"Make You Feel My Love","Adele"
"Chasing Cars","Sleeping At Last"
"I'll Be Good","Jaymes Young"
"Dancing On My Own","Calum Scott"
"River Of Tears","Alessia Cara"
"Let Her Go - Acoustic","Passenger"
"Love Like This - Acoustic","Kodaline"
"People Help the People","Birdy"
"Someone Like You","Adele"
"Empty Space","James Arthur"
"Vain","KIRBY"
"Need You Now - Acoustic","Dean Lewis"
"The Scientist","Coldplay"
"Does Anybody Know","Jade Bird"
"Bruises","Lewis Capaldi"
