"track","artist"
"Say So","Doja Cat"
"Don't Start Now","Dua Lipa"
"Ride It","Regard"
"Blinding Lights","The Weeknd"
"Dance Monkey","Tones And I"
"Promises (with Sam Smith)","Calvin Harris"
"Dancin (feat. Luvli) - Krono Remix","Aaron Smith"
"In My Mind","Dynoro"
"Lost on You","LP"
"Tuesday (feat. Danelle Sandoval)","Burak Yeter"
"Stupid Love","Lady Gaga"
"Memories","Maroon 5"
"Feel It Still","Portugal. The Man"
"Dancing With A Stranger (with Normani)","Sam Smith"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris"
"I Love Me","Demi Lovato"
"One Kiss (with Dua Lipa)","Calvin Harris"
"Lose Control","MEDUZA"
"Good as Hell (feat. Ariana Grande) - Remix","Lizzo"
"Sucker","Jonas Brothers"
"Intentions (feat. Quavo)","Justin Bieber"
"To Die For","Sam Smith"
"Natural","Imagine Dragons"
"Caution - Radio Edit","The Killers"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone"
"Bad Child","Tones And I"
"death bed (coffee for your head) (feat. beabadoobee)","Powfu"
"Rare","Selena Gomez"
"Supalonely","BENEE"
"Happier","Marshmello"
"Señorita","Shawn Mendes"
"Talk","Khalid"
"Yummy","Justin Bieber"
"Physical","Dua Lipa"
"Girls Like You (feat. Cardi B)","Maroon 5"
"Giant (with Rag'n'Bone Man)","Calvin Harris"
"New Light","John Mayer"
"Lalala","Y2K"
"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X"
"I Don't Care (with Justin Bieber)","Ed Sheeran"
"You should be sad","Halsey"
"No Time To Die","Billie Eilish"
"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix"
"Without Me","Halsey"
"Shallow","Lady Gaga"
"everything i wanted","Billie Eilish"
"Chandelier","Sia"
"How Do You Sleep?","Sam Smith"
"Shape of You","Ed Sheeran"
"Youngblood","5 Seconds of Summer"
"Thunderclouds","Sia"
"Sweet but Psycho","Ava Max"
"Call Out My Name","The Weeknd"
"Heartless","The Weeknd"
"Solo (feat. Demi Lovato)","Clean Bandit"
"High Hopes","Panic! At The Disco"
"bad guy (with Justin Bieber)","Billie Eilish"
"Post Malone (feat. RANI)","Sam Feldt"
"Get You The Moon (feat. Snøw)","Kina"
"What A Man Gotta Do","Jonas Brothers"
"Circles","Post Malone"
"You Need To Calm Down","Taylor Swift"
"7 rings","Ariana Grande"
"No Roots","Alice Merton"
"Lights Up","Harry Styles"
"Watermelon Sugar","Harry Styles"
"Better Now","Post Malone"
"Chlorine","Twenty One Pilots"
"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift"
"If I Can't Have You","Shawn Mendes"
"Don't Call Me Up","Mabel"
"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande"
"Friends (with BloodPop®)","Justin Bieber"
"i'm so tired...","Lauv"
"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson"
"ROXANNE","Arizona Zervas"
"Goodbyes (Feat. Young Thug)","Post Malone"
"Beautiful People (feat. Khalid)","Ed Sheeran"
"I Found You (with Calvin Harris)","benny blanco"
"Harleys In Hawaii","Katy Perry"
"Electricity (with Dua Lipa)","Silk City"
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco"
"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran"
"Insomnia","Daya"
"Kiss and Make Up","Dua Lipa"
"365","Zedd"
"REMEDY","Alesso"
"Lost In Japan - Remix","Shawn Mendes"
"thank u, next","Ariana Grande"
"Liar","Camila Cabello"
"Beautiful (feat. Camila Cabello)","Bazzi"
"Here With Me","Marshmello"
"Wow.","Post Malone"
"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding"
"Fire On Fire - From ""Watership Down""","Sam Smith"
"Takeaway (feat. Lennon Stella)","The Chainsmokers"
"Right Now","Nick Jonas"
"Who Do You Love","The Chainsmokers"
"Lonely (with Jonas Brothers)","Diplo"
"Eastside (with Halsey & Khalid)","benny blanco"
